Code compiled on Mar 13 2026 at 16:53:56
ï»¿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,RF
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.595
Air Density (kg/m^3),1.254
Rocket CD,0.55
Airbrake CD,0.8
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.2
Kalman Model V STD,0.5
Kalman Model A STD,0.5
Kalman Measurement Y STD,2
Kalman Measurement A STD,0.5
Target Apogee (m),228.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),60
Control Max Velocity (dep/s),2

Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,RF
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.595
Air Density (kg/m^3),1.254
Rocket CD,0.55
Airbrake CD,0.8
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.2
Kalman Model V STD,0.5
Kalman Model A STD,0.5
Kalman Measurement Y STD,2
Kalman Measurement A STD,0.5
Target Apogee (m),228.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Locko-1.091170,-0.122255,37.159428,0.094781,1.121860,27.357259,-0.335754,0.415234,19.999883,0.000000,0.000000,
232379856,23.470978,14.292683,2,-0.712646,0.017700,0.108826,0.692749,-8.117409,-3.165887,80.349635,-13.764451,22.000040,66.742349,25.325952,62.519297,66.860824,0.000000,0.000000,
232390958,24.164978,14.297227,2,-0.703613,0.017151,0.103760,0.702759,-7.445775,-2.626868,79.374453,-12.212289,20.791171,66.236981,25.907391,63.097012,66.404139,0.000000,0.000000,
232400422,24.448273,14.283595,2,-0.693970,0.016602,0.098267,0.713074,-6.904760,-2.279708,78.897435,-10.898226,19.716468,66.155761,26.360737,63.522628,66.222313,0.000000,0.000000,
232410096,24.747558,14.288139,2,-0.683716,0.015930,0.092529,0.723694,-6.926355,-2.329084,77.930170,-9.918989,19.073418,65.458083,26.816284,63.935826,65.662858,0.000000,0.000000,
232420831,25.732727,14.288139,2,-0.672974,0.015259,0.086609,0.734436,-6.200813,-1.831061,76.863067,-8.465136,17.612587,64.816307,27.397483,64.484694,65.043139,0.000000,0.000000,
232430310,26.229736,14.292683,2,-0.661621,0.014526,0.080566,0.745361,-5.664670,-1.078063,75.402886,-6.760777,16.191457,63.757288,27.894226,64.929086,64.101831,0.000000,0.000000,
232439944,26.623535,14.292683,2,-0.649780,0.013855,0.074463,0.756348,-5.520042,-1.344020,74.691961,-6.122586,15.361705,63.256669,28.395177,65.365884,63.483129,0.000000,0.000000,
232450953,27.601135,14.283595,2,-0.637390,0.013245,0.068481,0.767334,-5.116659,-0.440051,74.326097,-4.448503,14.134168,63.208999,29.038887,65.954447,63.282452,0.000000,0.000000,
232460555,27.608856,14.292683,2,-0.624512,0.012573,0.062683,0.778381,-4.655518,-0.054513,73.665718,-3.353712,12.876084,62.803457,29.531385,66.362084,62.931803,0.000000,0.000000,
232470367,29.083191,14.288139,2,-0.611084,0.012024,0.057251,0.789429,-4.545631,-0.328955,73.065027,-2.892142,12.136967,62.338871,30.140528,66.912860,62.497747,0.000000,0.000000,
