Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Raw Local Acceleration X,IMU Raw Local Acceleration Y,IMU Raw Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment
26270787,0.08564,26.12886,1,-0.612427,-0.090942,0.768799,-0.160034,9.77,-2.1,-2.41,0.632535,-0.545093,0.441104,-0.101682,0.053659,0.491226,0.25,0.25
26279991,0.078957,26.119587,1,-0.609985,-0.091248,0.770447,-0.161133,9.63,-1.93,-2.39,0.532059,-0.398418,0.288356,-0.091101,0.062096,0.342715,0.25,0.25
26289760,-0.479896,26.12886,1,-0.607544,-0.091492,0.772156,-0.162231,9.71,-1.62,-2.24,0.206694,-0.160954,0.288924,-0.11224,0.05211,0.303337,0.25,0.25
26300661,-0.298057,26.119587,1,-0.604797,-0.091553,0.774353,-0.161926,10.25,-2.73,-2.31,0.444295,-1.151399,0.987365,-0.122026,0.056409,0.80408,0.25,0.25
26310131,-0.200462,26.124224,1,-0.601929,-0.091309,0.776794,-0.161072,10.32,-2.12,-2.28,0.108263,-0.620879,0.964523,-0.125861,0.062878,0.921532,0.25,0.25
26319754,-0.298057,26.119587,1,-0.598877,-0.091431,0.779541,-0.159119,10.42,-1.76,-2.54,0.120141,-0.238758,1.063015,-0.134926,0.06706,1.025105,0.25,0.25
26330846,-0.291389,26.12886,1,-0.595581,-0.092285,0.782593,-0.155884,9.96,-1.2,-2.37,-0.184005,0.12505,0.504175,-0.143032,0.067258,0.643758,0.25,0.25
26340096,-0.765983,26.124224,1,-0.592041,-0.093445,0.785889,-0.151978,9.73,-0.68,-2.26,-0.468618,0.471232,0.190298,-0.177817,0.045941,0.311802,0.25,0.25
26349976,0.176552,26.124224,1,-0.588684,-0.094727,0.789062,-0.147705,9.33,0.09,-2.24,-0.705852,1.082785,-0.292941,-0.157219,0.056283,-0.130901,0.25,0.25
26360749,-0.012474,26.124224,1,-0.585205,-0.09613,0.792297,-0.143372,9.27,0.78,-2.41,-0.824489,1.693662,-0.377787,-0.148376,0.057762,-0.311634,0.25,0.25
