Code compiled on Dec 22 2025 at 15:34:53
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name (max 7 chars uppercase),FLIGHT
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.637
Air Density (kg/m^3),1.18
Rocket CD,0.71
Airbrake CD,0.8
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.05
Kalman Model V STD,0.1
Kalman Model A STD,0.015
Kalman Measurement Y STD,0.26
Kalman Measurement A STD,0.013
Target Apogee (m),183
Launch Acceleration Threshold (m/s^2),20
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter lockout (s),120

Calibration point: 198.598961
Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Local Acceleration X,IMU Local Acceleration Y,IMU Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Servo deployment,
353673498,-0.201134,16.602660,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,0.000000,-0.050000,-0.015282,0.024422,-0.050696,0.051119,0.013076,-0.050481,0.000000,
353681687,-0.109398,16.607303,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,-0.010000,-0.050000,-0.012003,0.038176,-0.050977,-0.041612,-0.103077,-0.050972,0.000000,
353690865,0.352912,16.602660,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,0.010000,-0.060000,-0.028953,0.027473,-0.060887,0.184847,0.138938,-0.060778,0.000000,
353703453,-0.018166,16.611947,1,-0.487854,0.009277,-0.007690,-0.872864,0.010000,0.000000,-0.040000,-0.004891,0.007616,-0.040225,0.069189,0.014858,-0.040452,0.000000,
353711655,-0.107339,16.598016,1,-0.487854,0.009277,-0.007690,-0.872864,0.020000,0.010000,-0.040000,-0.018648,0.010892,-0.040419,-0.032828,-0.115070,-0.040419,0.000000,
353720831,0.076652,16.598016,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,-0.020000,-0.020000,-0.003746,0.044090,-0.021030,0.029241,-0.046741,-0.021243,0.000000,
353733411,0.261161,16.598016,1,-0.487854,0.009277,-0.007690,-0.872864,0.060000,-0.010000,-0.030000,-0.022655,0.055656,-0.031457,0.162817,0.096370,-0.031344,0.000000,
353741605,0.354957,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,0.010000,-0.060000,-0.028953,0.027473,-0.060887,0.274810,0.239084,-0.060561,0.000000,
353750857,0.261161,16.598016,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,-0.010000,-0.060000,-0.006677,0.029436,-0.060737,0.269147,0.229855,-0.060735,0.000000,
353763513,0.352912,16.602660,1,-0.487854,0.009277,-0.007690,-0.872864,0.020000,-0.020000,-0.040000,0.006906,0.026610,-0.040550,0.320536,0.282165,-0.040772,0.000000,
353771704,0.447212,16.588729,1,-0.487854,0.009277,-0.007690,-0.872864,0.050000,0.000000,-0.040000,-0.025847,0.041677,-0.041173,0.396197,0.378091,-0.041169,0.000000,
353780843,-0.199074,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.050000,0.000000,-0.070000,-0.025587,0.041002,-0.071165,0.056238,-0.006679,-0.070834,0.000000,
353813130,0.538963,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.060000,0.000000,-0.050000,-0.030999,0.049967,-0.051407,0.341450,0.298336,-0.051622,0.000000,
353821527,0.078712,16.588729,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,0.010000,-0.060000,-0.023714,0.018957,-0.060650,0.185325,-0.088963,-0.060550,0.000000,
353830664,-0.474297,16.588729,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,-0.020000,-0.030000,-0.003659,0.043865,-0.031027,-0.201487,-0.706928,-0.031352,0.000000,
353844446,0.078712,16.588729,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,0.000000,-0.060000,-0.015195,0.024197,-0.060694,-0.047881,-0.499969,-0.060370,0.000000,
353852061,0.171470,16.584086,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,0.000000,-0.060000,-0.015195,0.024197,-0.060694,0.075687,-0.318373,-0.060690,0.000000,
353860961,-0.105797,16.588729,1,-0.487854,0.009277,-0.007690,-0.872864,0.020000,0.010000,-0.060000,-0.018475,0.010442,-0.060413,-0.031838,-0.435398,-0.060416,0.000000,
353873415,-0.014580,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,0.000000,-0.050000,-0.020521,0.032937,-0.050933,-0.027284,-0.425470,-0.051038,0.000000,
353881478,-0.014580,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,0.000000,-0.050000,-0.020521,0.032937,-0.050933,-0.023368,-0.416560,-0.050935,0.000000,
353890609,0.169929,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.070000,-0.010000,-0.060000,-0.027633,0.063497,-0.061685,0.084254,-0.296783,-0.061567,0.000000,
353903190,0.169929,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.050000,0.020000,-0.060000,-0.042710,0.030748,-0.061080,0.130074,-0.244603,-0.061085,0.000000,
353911380,0.169929,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.070000,-0.010000,-0.070000,-0.027547,0.063272,-0.071682,0.151136,-0.215369,-0.071566,0.000000,
353920521,0.076652,16.598016,1,-0.487854,0.009277,-0.007690,-0.872864,0.010000,-0.020000,-0.040000,0.012145,0.018095,-0.040313,0.106206,-0.263268,-0.040657,0.000000,
353930092,0.538963,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.050000,0.000000,-0.040000,-0.025847,0.041677,-0.041173,0.353304,0.008961,-0.041168,0.000000,
353942969,0.816261,16.588729,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,-0.010000,-0.050000,-0.012003,0.038176,-0.050977,0.621597,0.307013,-0.050869,0.000000,
353951338,0.354957,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.060000,-0.010000,-0.070000,-0.022308,0.054757,-0.071445,0.469612,0.098382,-0.071219,0.000000,
353960473,0.538963,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.060000,0.010000,-0.040000,-0.039604,0.044952,-0.041367,0.510545,0.144067,-0.041696,0.000000,
353973080,0.722968,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,0.000000,-0.030000,-0.020695,0.033386,-0.030939,0.635373,0.281079,-0.031058,0.000000,
353981256,0.352912,16.602660,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,-0.020000,-0.050000,0.001754,0.034901,-0.050784,0.474041,0.061475,-0.050567,0.000000,
353990423,0.445167,16.598016,1,-0.487854,0.009277,-0.007690,-0.872864,0.050000,0.000000,-0.050000,-0.025760,0.041452,-0.051170,0.457938,0.041989,-0.051164,0.000000,
354002991,0.536918,16.602660,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,-0.020000,-0.030000,0.001580,0.035350,-0.030790,0.504201,0.092923,-0.031014,0.000000,
354011166,0.907493,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,-0.010000,-0.060000,-0.011916,0.037952,-0.060974,0.738607,0.407487,-0.060644,0.000000,
354020436,0.261161,16.598016,1,-0.487854,0.009277,-0.007690,-0.872864,0.000000,0.010000,-0.050000,-0.008083,-0.006363,-0.049942,0.466763,0.089852,-0.050060,0.000000,
