Code compiled on Mar 21 2026 at 12:11:29
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,QF
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.6
Air Density (kg/m^3),1.193
Rocket CD,0.5
Airbrake CD,0.7
Rocket Area (m^2),0.00243
Kalman Model Y STD,1
Kalman Model V STD,0.4
Kalman Model A STD,5
Kalman Measurement Y STD,5
Kalman Measurement A STD,2
Target Apogee (m),225
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),90
Control Max Velocity (dep/s),5

Calibration point: 293.222158
Time (us),RAW Altitude AGL (m),Corrected Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Raw Local Acceleration X,IMU Raw Local Acceleration Y,IMU Raw Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment,
158059749,5.532969,5.532969,35.639671,2,0.651245,-0.053223,0.022888,-0.756653,3.646866,3.715262,102.630553,14.625506,-0.566047,91.943427,6.007825,32.797688,92.503375,0.000000,0.000000,
158068557,6.360483,6.360483,35.639671,2,0.650574,-0.061646,0.027710,-0.756470,3.403793,3.639207,101.827564,16.234216,-0.016440,90.848865,6.366378,33.640710,91.418235,0.000000,0.000000,
158078052,6.981547,6.981547,35.639671,2,0.649536,-0.070740,0.032898,-0.756348,3.184661,4.263099,100.941735,18.809126,0.443365,89.516255,6.805134,34.565330,90.170788,0.000000,0.000000,
158089080,7.628550,7.628550,35.648728,2,0.648193,-0.080505,0.038513,-0.756226,3.213000,4.750622,101.538254,21.584218,0.764681,89.574020,7.346241,35.652439,89.779390,0.000000,0.000000,
158098545,7.925150,7.925150,35.644200,2,0.646484,-0.090881,0.044373,-0.756226,2.690455,4.986173,100.920817,24.099826,1.629501,88.350991,7.796234,36.559180,88.842550,0.000000,0.000000,
158108243,9.373545,9.373545,35.644200,2,0.644409,-0.101685,0.050415,-0.756226,2.761856,5.554108,99.340061,26.675679,1.810380,86.072632,8.450567,37.584844,87.025854,0.000000,0.000000,
158119009,9.877787,9.877787,35.639671,2,0.641907,-0.112915,0.056641,-0.756287,2.307158,5.989807,99.294340,29.570016,2.601324,85.167581,9.127850,38.674242,85.807076,0.000000,0.000000,
158128432,10.408976,10.408976,35.644200,2,0.639038,-0.124390,0.062805,-0.756409,2.233145,6.475814,98.906052,32.369931,2.990544,83.861327,9.736305,39.620317,84.530926,0.000000,0.000000,
158139229,11.119364,11.119364,35.639671,2,0.635620,-0.135986,0.068909,-0.756775,1.776118,6.775659,97.628223,34.753577,3.709359,81.619830,10.428265,40.669391,82.621634,0.000000,0.000000,
158148529,12.271494,12.271494,35.644200,2,0.631287,-0.147644,0.074768,-0.757690,1.670283,7.141334,97.156889,37.310158,4.092979,80.116618,11.155730,41.639022,80.978680,0.000000,0.000000,
