Code compiled on Feb 14 2026 at 22:01:21
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,FLT
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.6
Air Density (kg/m^3),1.24
Rocket CD,0.65
Airbrake CD,0.65
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.05
Kalman Model V STD,0.1
Kalman Model A STD,0.015
Kalman Measurement Y STD,0.26
Kalman Measurement A STD,0.013
Target Apogee (m),228.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),60
Control Max Velocity (dep/s),2

Calibration point: 238.512741
Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Local Acceleration X,IMU Local Acceleration Y,IMU Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment,
104704669,-0.101227,17.503434,1,0.882080,-0.027161,0.022217,-0.469727,0.120000,0.330000,0.700000,0.385288,0.103234,0.673935,0.190343,0.362665,0.673426,0.000000,0.000000,
104713473,0.084000,17.503434,1,0.882141,-0.027161,0.022217,-0.469666,0.160000,0.410000,0.730000,0.475733,0.115489,0.697810,0.132625,0.327428,0.697541,0.000000,0.000000,
104722273,0.547577,17.498791,1,0.882141,-0.027161,0.022217,-0.469666,0.130000,0.370000,0.680000,0.422666,0.116737,0.651095,0.372893,0.478708,0.651607,0.000000,0.000000,
104734656,0.084000,17.512720,1,0.882141,-0.027161,0.022217,-0.469666,0.160000,0.410000,0.700000,0.473792,0.114677,0.667884,0.213366,0.389085,0.667704,0.000000,0.000000,
104743446,0.361832,17.508077,1,0.882141,-0.027161,0.022217,-0.469666,0.160000,0.410000,0.710000,0.474439,0.114948,0.677859,0.301950,0.456732,0.677747,0.000000,0.000000,
104752436,0.176102,17.508077,1,0.882141,-0.027161,0.022217,-0.469666,0.130000,0.450000,0.700000,0.490153,0.161866,0.665543,0.234038,0.415535,0.665677,0.000000,0.000000,
104765133,0.269226,17.503434,1,0.882141,-0.027161,0.022217,-0.469666,0.140000,0.430000,0.710000,0.479830,0.142691,0.676757,0.259552,0.437023,0.676635,0.000000,0.000000,
104773741,0.176102,17.508077,1,0.882141,-0.027161,0.022217,-0.469666,0.060000,0.410000,0.680000,0.416713,0.197119,0.649301,0.215431,0.404859,0.649603,0.000000,0.000000,
104782507,-0.658401,17.512720,1,0.882141,-0.027161,0.022217,-0.469666,0.100000,0.370000,0.700000,0.407225,0.142173,0.671456,-0.281506,0.062171,0.671215,0.000000,0.000000,
104795034,0.732803,17.508077,1,0.882202,-0.027161,0.022217,-0.469604,0.080000,0.330000,0.680000,0.361669,0.135980,0.654530,0.301355,0.459909,0.654714,0.000000,0.000000,
104803861,0.268707,17.512720,1,0.882202,-0.027161,0.022217,-0.469604,0.060000,0.370000,0.680000,0.383605,0.174875,0.652052,0.286684,0.450210,0.652082,0.000000,0.000000,
104812752,-0.009125,17.517363,1,0.882202,-0.027161,0.022217,-0.469604,0.140000,0.370000,0.710000,0.430182,0.109304,0.680883,0.121134,0.330517,0.680566,0.000000,0.000000,
104825406,-0.194336,17.517363,1,0.882202,-0.027161,0.022217,-0.469604,0.140000,0.410000,0.700000,0.462630,0.131332,0.668156,-0.055840,0.209554,0.668293,0.000000,0.000000,
104833977,-0.101730,17.512720,1,0.882141,-0.027161,0.022217,-0.469666,0.180000,0.370000,0.700000,0.451852,0.075786,0.670362,-0.080404,0.192159,0.670339,0.000000,0.000000,
104842914,-0.380066,17.517363,1,0.882080,-0.027161,0.022217,-0.469727,0.180000,0.430000,0.700000,0.501498,0.109165,0.666236,-0.250533,0.065339,0.666281,0.000000,0.000000,
104855466,-0.009125,17.517363,1,0.882080,-0.027161,0.022217,-0.469788,0.180000,0.410000,0.680000,0.483681,0.097411,0.647660,-0.110908,0.177412,0.647865,0.000000,0.000000,
104864344,0.268707,17.512720,1,0.882080,-0.027161,0.022217,-0.469788,0.160000,0.370000,0.730000,0.442661,0.093078,0.700562,0.109144,0.383348,0.699981,0.000000,0.000000,
104873186,-0.101730,17.522006,1,0.882080,-0.027161,0.022217,-0.469788,0.100000,0.350000,0.640000,0.386829,0.129301,0.612980,-0.008490,0.289364,0.613939,0.000000,0.000000,
104885667,0.268707,17.522006,1,0.882080,-0.027161,0.022217,-0.469788,0.120000,0.390000,0.700000,0.434967,0.136609,0.669807,0.154600,0.422708,0.669191,0.000000,0.000000,
104894261,0.083481,17.522006,1,0.882080,-0.027161,0.022217,-0.469788,0.100000,0.330000,0.660000,0.371571,0.118699,0.634307,0.117316,0.389206,0.634691,0.000000,0.000000,
104903234,0.084000,17.512720,1,0.882080,-0.027161,0.022217,-0.469788,0.180000,0.350000,0.680000,0.434026,0.063984,0.651788,0.101704,0.378963,0.651599,0.000000,0.000000,
104915836,0.268707,17.512720,1,0.882080,-0.027161,0.022217,-0.469788,0.130000,0.370000,0.700000,0.423991,0.117166,0.671046,0.202654,0.465899,0.670832,0.000000,0.000000,
104924696,-0.101730,17.522006,1,0.882080,-0.027161,0.022217,-0.469788,0.160000,0.370000,0.700000,0.440720,0.092267,0.670636,0.031399,0.297284,0.670638,0.000000,0.000000,
104933556,-0.101730,17.512720,1,0.882080,-0.027161,0.022217,-0.469788,0.220000,0.410000,0.730000,0.509221,0.065564,0.696990,-0.042448,0.235382,0.696700,0.000000,0.000000,
104945900,0.361832,17.517363,1,0.882080,-0.027161,0.022217,-0.469788,0.140000,0.430000,0.700000,0.479222,0.142294,0.666782,0.193296,0.441069,0.667112,0.000000,0.000000,
104954469,-0.286957,17.512720,1,0.882080,-0.027161,0.022217,-0.469727,0.130000,0.460000,0.700000,0.498436,0.167376,0.664856,-0.079659,0.164863,0.664881,0.000000,0.000000,
104963348,0.176102,17.517363,1,0.882141,-0.027161,0.022217,-0.469666,0.130000,0.430000,0.730000,0.475546,0.151531,0.696845,0.068822,0.303438,0.696492,0.000000,0.000000,
104976030,0.268707,17.522006,1,0.882202,-0.027161,0.022217,-0.469543,0.040000,0.410000,0.700000,0.406792,0.214363,0.669526,0.187896,0.412072,0.669823,0.000000,0.000000,
104984885,-0.009125,17.517363,1,0.882263,-0.027161,0.022217,-0.469421,0.100000,0.390000,0.710000,0.424337,0.153813,0.680056,0.077889,0.296833,0.679943,0.000000,0.000000,
104993776,-0.101730,17.522006,1,0.882324,-0.027161,0.022217,-0.469360,0.130000,0.410000,0.700000,0.456975,0.139871,0.668292,-0.022781,0.204477,0.668421,0.000000,0.000000,
105006217,0.361832,17.517363,1,0.882324,-0.027161,0.022217,-0.469360,0.160000,0.390000,0.680000,0.455892,0.103287,0.649306,0.201555,0.413546,0.649517,0.000000,0.000000,
105014835,-0.472687,17.522006,1,0.882263,-0.027161,0.022217,-0.469482,0.120000,0.450000,0.730000,0.486460,0.171167,0.695605,-0.183927,-0.004447,0.695097,0.000000,0.000000,
105023692,-0.009125,17.526648,1,0.882202,-0.027161,0.022217,-0.469604,0.220000,0.410000,0.730000,0.509208,0.065761,0.696987,-0.083373,0.098486,0.696966,0.000000,0.000000,
105036457,-0.102249,17.531291,1,0.882141,-0.027161,0.022217,-0.469727,0.180000,0.430000,0.680000,0.500231,0.108616,0.646283,-0.092952,0.096689,0.646841,0.000000,0.000000,
105045316,-0.565277,17.517363,1,0.882080,-0.027161,0.022217,-0.469788,0.120000,0.370000,0.710000,0.419062,0.125737,0.681158,-0.364943,-0.206580,0.680780,0.000000,0.000000,
105054158,-0.380066,17.526648,1,0.882080,-0.027161,0.022217,-0.469788,0.130000,0.350000,0.680000,0.406146,0.105483,0.652471,-0.375452,-0.209584,0.652783,0.000000,0.000000,
105066521,0.361328,17.526648,1,0.882080,-0.027161,0.022217,-0.469788,0.130000,0.350000,0.710000,0.408087,0.106294,0.682397,0.047155,0.204586,0.682071,0.000000,0.000000,
105075041,-0.287460,17.522006,1,0.882141,-0.027161,0.022217,-0.469727,0.140000,0.370000,0.660000,0.426976,0.107838,0.631007,-0.144315,-0.010763,0.631570,0.000000,0.000000,
105084044,0.175583,17.526648,1,0.882141,-0.027161,0.022217,-0.469666,0.140000,0.370000,0.710000,0.430185,0.109250,0.680884,0.039800,0.180258,0.680341,0.000000,0.000000,
105096668,0.175583,17.526648,1,0.882202,-0.027161,0.022217,-0.469604,0.200000,0.410000,0.700000,0.496107,0.081545,0.667335,0.120530,0.265082,0.667478,0.000000,0.000000,
105105542,-0.287460,17.522006,1,0.882202,-0.027161,0.022217,-0.469604,0.130000,0.410000,0.710000,0.457697,0.139900,0.678269,-0.112994,-0.007791,0.678150,0.000000,0.000000,
105114397,0.268707,17.522006,1,0.882202,-0.027161,0.022217,-0.469604,0.160000,0.430000,0.700000,0.490336,0.125886,0.666507,0.106924,0.229805,0.666635,0.000000,0.000000,
105126877,0.268707,17.512720,1,0.882141,-0.027161,0.022217,-0.469666,0.140000,0.410000,0.660000,0.460047,0.130192,0.628256,0.203288,0.330912,0.628679,0.000000,0.000000,
105135672,-0.473190,17.531291,1,0.882141,-0.027161,0.022217,-0.469666,0.140000,0.430000,0.680000,0.477889,0.141880,0.646831,-0.184976,-0.132542,0.646631,0.000000,0.000000,
105144536,-0.194855,17.526648,1,0.882141,-0.027161,0.022217,-0.469666,0.140000,0.350000,0.730000,0.414931,0.098644,0.702211,-0.191817,-0.132391,0.701598,0.000000,0.000000,
105157046,0.267685,17.531291,1,0.882141,-0.027161,0.022217,-0.469666,0.140000,0.480000,0.710000,0.521201,0.170559,0.673318,0.072081,0.145477,0.673629,0.000000,0.000000,
