Time_s,Simulated_Altitude_AGL_m,Raw_Barometer_Altitude_AGL_m,Filtered_Altitude_AGL_m,Simulated_Velocity_ms,Filtered_Velocity_ms,Deployment_Level,Predicted_Apogee_AGL_m,Motor_Burning,Control_Active,Target_Apogee_AGL_m,Environment_Elevation_m,Apogee_Prediction_Cd,Altitude_Error_m,Velocity_Error_ms,Apogee_Error_m,Flight_Altitude_AGL_m,Flight_Velocity_Total_ms,Flight_Acceleration_ms2,Flight_Mach_Number,Flight_Dynamic_Pressure_Pa
2.8000000000000003,164.3524304574027,164.21914427703393,164.42607534931685,43.31653872292852,44.60318559675412,1.0,243.8720483000788,False,True,228.6,200,1.0,0.07364489191414236,1.2866468738256032,15.272048300078808,164.3524304574027,43.68693384272957,20.89309019451536,0.12894661745221206,1129.0470747187794
2.8000000000000003,164.3524304574027,164.21914427703393,164.3725552414309,43.31653872292852,44.3127368989916,1.0,242.9935281446244,False,True,228.6,200,1.0,0.02012478402818374,0.996198176063082,14.393528144624412,164.3524304574027,43.68693384272957,20.89309019451536,0.12894661745221206,1129.0470747187794
2.85,166.49242295320607,166.0015546440673,166.3924103397213,42.287479395820306,42.533917829234916,1.0,239.99252291463748,False,True,228.6,200,1.0,0.10001261348477897,0.24643843341461036,11.392522914637482,166.49242295320607,42.65729924912846,20.373054042274276,0.12591080588673143,1076.2307085432528
2.9,168.58160021807322,168.8997224062528,168.6376609735746,41.283727708281845,42.41522729017574,1.0,241.904840880727,False,True,228.6,200,1.0,0.05606075550139167,1.1314995818938982,13.304840880727,168.58160021807322,41.65318181003739,19.876840881373187,0.1229500817153258,1025.9516874662877
2.9,168.58160021807322,168.8997224062528,168.70551125470706,41.283727708281845,42.782880327632455,1.0,243.0048612143919,False,True,228.6,200,1.0,0.12391103663384229,1.4991526193506104,14.4048612143919,168.58160021807322,41.65318181003739,19.876840881373187,0.1229500817153258,1025.9516874662877
2.95,170.62119745770423,169.83960511143007,170.52168613813947,40.304083103760675,40.426000196974556,1.0,238.25247482950778,False,True,228.6,200,1.0,0.09951131956475479,0.12191709321388089,9.652474829507781,170.62119745770423,40.67337990536486,19.404133372164768,0.12006091092578607,978.0589425493341
3.0,172.61239135253004,172.19407749014687,172.40770621134544,39.34741021679768,38.97726927713896,1.0,236.16346597624045,False,True,228.6,200,1.0,0.2046851411845978,0.3701409396587181,7.563465976240451,172.61239135253004,39.7167576361433,18.95356009404619,0.11723995263842742,932.412442362595
3.0,172.61239135253004,172.19407749014687,172.35245053491641,39.34741021679768,38.6774348694492,1.0,235.29214886179003,False,True,228.6,200,1.0,0.2599408176136251,0.6699753473484762,6.692148861790031,172.61239135253004,39.7167576361433,18.95356009404619,0.11723995263842742,932.412442362595
3.0500000000000003,174.55630348162094,174.37331892338696,174.2987059357747,38.41263944784049,38.01742672692871,1.0,235.45055883626878,False,True,228.6,200,1.0,0.25759754584623806,0.39521272091177906,6.850558836268789,174.55630348162094,38.782245451912694,18.523849757260738,0.1144840610267804,888.8825003141121
3.1,176.45400347210494,176.25416127280528,176.20591931577724,37.498762174039115,37.376312161308356,1.0,235.6327503448625,False,True,228.6,200,1.0,0.24808415632770675,0.12245001273075928,7.032750344862507,176.45400347210494,37.868835366972895,18.113822682214714,0.11179027126030674,847.3488792788999
3.1,176.45400347210494,176.25416127280528,176.2184313545671,37.498762174039115,37.44393631368944,1.0,235.82665847654067,False,True,228.6,200,1.0,0.23557211753785623,0.054825860349673405,7.226658476540678,176.45400347210494,37.868835366972895,18.113822682214714,0.11179027126030674,847.3488792788999
3.1500000000000004,178.306512004156,178.2320501347384,178.12264023686873,36.604826306166565,37.0302732588817,1.0,236.62335751546428,False,True,228.6,200,1.0,0.18387176728725763,0.42544695271513433,8.023357515464284,178.306512004156,36.97557652450608,17.722383044007028,0.10915578646823909,807.6999826100475
3.2,180.11480343842447,180.05204091356148,179.99126773790118,35.72993240553829,36.58762037952288,1.0,237.31254168456604,False,True,228.6,200,1.0,0.12353570052329133,0.8576879739845893,8.712541684566048,180.11480343842447,36.101571321261375,17.348511960872933,0.10657796635269598,769.8321328093461
3.2,180.11480343842447,180.05204091356148,180.00702194535629,35.72993240553829,36.67283033522767,1.0,237.5548720857714,False,True,228.6,200,1.0,0.10778149306818818,0.94289792968938,8.954872085771399,180.11480343842447,36.101571321261375,17.348511960872933,0.10657796635269598,769.8321328093461
3.25,181.87980841057617,181.29192757869785,181.66153224375654,34.87322994968229,35.23060872664266,1.0,235.40557383661024,False,True,228.6,200,1.0,0.2182761668196349,0.3573787769603669,6.80557383661025,181.87980841057617,35.24597168485403,16.991261195176396,0.10405431624780245,733.6489122043098
3.3000000000000003,183.60241618479353,183.42030543851467,183.4122519253037,34.03391396992847,34.648805712125046,1.0,235.64134773002473,False,True,228.6,200,1.0,0.1901642594898192,0.6148917421965763,7.041347730024739,183.60241618479353,34.40797572673962,16.649747442654125,0.10158247728345328,699.0605696620569
3.3000000000000003,183.60241618479353,183.42030543851467,183.41436171023344,34.03391396992847,34.66004566797715,1.0,235.672613907756,False,True,228.6,200,1.0,0.18805447456009006,0.6261316980486811,7.0726139077559935,183.60241618479353,34.40797572673962,16.649747442654125,0.10158247728345328,699.0605696620569
3.35,185.2834768515856,184.9860852275019,185.08804816342848,33.21122195172081,33.86621421902439,1.0,235.29818360300794,False,True,228.6,200,1.0,0.1954286881571079,0.6549922673035837,6.698183603007948,185.2834768515856,33.5868246624749,16.32314715134149,0.09916021733428694,665.9834828901558
3.4,186.9238033677454,186.79846248558349,186.77849239753186,32.404431010260126,33.381161160055676,1.0,235.74852865885651,False,True,228.6,200,1.0,0.14531097021352934,0.9767301497955501,7.14852865885652,186.9238033677454,32.781800012624196,16.010690769160465,0.09678542279367777,634.3396719358481
3.4,186.9238033677454,186.79846248558349,186.78368502259286,32.404431010260126,33.40912443433466,1.0,235.82497285818317,False,True,228.6,200,1.0,0.14011834515252986,1.0046934240745315,7.224972858183179,186.9238033677454,32.781800012624196,16.010690769160465,0.09678542279367777,634.3396719358481
3.45,188.52417349604622,188.17115304368548,188.35818892618775,31.612855305641276,32.467102575915824,1.0,235.0157992926866,False,True,228.6,200,1.0,0.1659845698584661,0.8542472702745485,6.415799292686614,188.52417349604622,31.9922210492385,15.711658401667584,0.09445609106960945,604.0563579654621
3.5,190.08533158187083,190.81145318251777,190.26302235315734,30.835843633139064,33.55426085240957,1.0,239.6745985795542,False,True,228.6,200,1.0,0.1776907712865068,2.7184172192705063,11.07459857955422,190.08533158187083,31.217442422672125,15.425377716356987,0.09217032361004925,575.0655609309273
3.5,190.08533158187083,190.81145318251777,190.4049706980113,30.835843633139064,34.32371834092384,1.0,241.79272243795867,False,True,228.6,200,1.0,0.319639116140479,3.4878747077847763,13.192722437958679,190.08533158187083,31.217442422672125,15.425377716356987,0.09217032361004925,575.0655609309273
3.5500000000000003,191.60799024332783,191.43642256552158,191.90546901027884,30.072777127103148,32.9589441578492,1.0,239.80331460940403,False,True,228.6,200,1.0,0.29747876695100217,2.886167030746055,11.203314609404032,191.60799024332783,30.456851907998217,15.151220385950246,0.08992631927883481,547.3037306709516
3.6,193.09283188753113,193.43481678132824,193.5067076683623,29.32306720349701,32.42399183852309,1.0,240.05606736776576,False,True,228.6,200,1.0,0.4138757808311766,3.1009246350260753,11.456067367765769,193.09283188753113,29.709868396946927,14.888598747685347,0.08772236845399627,520.7114132341594
3.6,193.09283188753113,193.43481678132824,193.48812770924818,29.32306720349701,32.323068640634546,1.0,239.7843624781954,False,True,228.6,200,1.0,0.3952958217170419,3.0000014371375343,11.184362478195396,193.09283188753113,29.709868396946927,14.888598747685347,0.08772236845399627,520.7114132341594
3.6500000000000004,194.5405102208485,194.0775540087028,194.78063278988142,28.586153566171483,30.26362637280802,1.0,236.00492220941757,False,True,228.6,200,1.0,0.24012256903293405,1.677472806636537,7.4049222094175775,194.5405102208485,28.975939962254593,14.636962727749783,0.0855568473377999,495.23294330344555
3.7,195.95165160549777,196.54321688692744,196.37272669287762,27.861502419464344,30.25797937991596,1.0,237.58336353103155,False,True,228.6,200,1.0,0.42107508737984745,2.396476960451615,8.983363531031557,195.95165160549777,28.254542136030224,14.395797043670107,0.08342821289663696,470.8161655319305
3.7,195.95165160549777,196.54321688692744,196.41686872829862,27.861502419464344,30.497145407941584,1.0,238.20699160889532,False,True,228.6,200,1.0,0.46521712280085126,2.6356429884772403,9.606991608895328,195.95165160549777,28.254542136030224,14.395797043670107,0.08342821289663696,470.8161655319305
3.75,197.32685634192308,197.4767993684517,197.79125200741115,27.14860480065948,29.347177860519896,1.0,236.81910353766824,False,True,228.6,200,1.0,0.46439566548806965,2.198573059860415,8.219103537668246,197.32685634192308,27.54517631734649,14.164618657717392,0.0813349981806732,447.41217942669823
3.8000000000000003,198.66669986074197,199.0270841968949,199.17059142523064,26.446975043864526,28.488084333939668,1.0,236.17572549205033,False,True,228.6,200,1.0,0.5038915644886686,2.0411092900751413,7.5757254920503385,198.66669986074197,26.847368321374823,13.942974450233805,0.07927580805977673,424.97510624647646
3.8000000000000003,198.66669986074197,199.0270841968949,199.1334756168991,26.446975043864526,28.286678348617574,1.0,235.66965536486842,False,True,228.6,200,1.0,0.4667757561571193,1.8397033047530478,7.069655364868424,198.66669986074197,26.847368321374823,13.942974450233805,0.07927580805977673,424.97510624647646
3.85,199.9717338803939,199.77588428831226,200.30071465918118,25.756149317845075,26.529367077867196,1.0,232.83385825144626,False,True,228.6,200,1.0,0.32898077878726895,0.7732177600221206,4.233858251446264,199.9717338803939,26.1606670141986,13.730439073018646,0.07724931521096146,403.4618743320253
3.9,201.2424874463474,201.5291689127745,201.5834718153167,25.075684311286032,25.788096394725542,1.0,232.47788748611782,False,True,228.6,200,1.0,0.34098436896928774,0.71241208343951,3.877887486117828,201.2424874463474,25.48464310731911,13.526612990759347,0.0752542565759439,382.8320236852493
3.9,201.2424874463474,201.5291689127745,201.56943837973006,25.075684311286032,25.711855744807018,1.0,232.29705405670762,False,True,228.6,200,1.0,0.3269509333826477,0.6361714335209854,3.6970540567076284,201.2424874463474,25.48464310731911,13.526612990759347,0.0752542565759439,382.8320236852493
3.95,202.4794679116692,202.36626861766342,202.69413515340398,24.405156005568593,24.35270634347852,1.0,230.50463684010165,False,True,228.6,200,1.0,0.21466724173478724,0.052449662090072735,1.9046368401016593,202.4794679116692,24.818888055647363,13.331120702236479,0.07328943012303137,363.0475264297811
4.0,203.68316188585516,204.26100695191866,204.0237279497903,23.74415850779261,24.430099269850007,1.0,231.9974085931317,False,True,228.6,200,1.0,0.34056606393514244,0.685940762057399,3.3974085931317006,203.68316188585516,24.163013032942235,13.143609080045414,0.07135369183657672,344.0726211120775
4.0,203.68316188585516,204.26100695191866,204.0851493120228,23.74415850779261,24.762983787380907,1.0,232.76478626299954,False,True,228.6,200,1.0,0.4019874261676364,1.0188252795882988,4.164786262999542,203.68316188585516,24.163013032942235,13.143609080045414,0.07135369183657672,344.0726211120775
4.05,204.85403612041364,204.42846559293156,205.03846191386546,23.092302969968717,22.814713492060132,1.0,229.68260546205738,False,True,228.6,200,1.0,0.18442579345182253,0.27758947790858457,1.082605462057387,204.85403612041364,23.516648013444065,12.963745843246311,0.06944595301895763,325.8736605693052
4.1,205.99253832773877,206.57922746197198,206.30928185025655,22.449216594653162,23.011297497556107,1.0,231.3498727720832,False,True,228.6,200,1.0,0.3167435225177826,0.5620809029029452,2.7498727720831937,205.99253832773877,22.879440962656716,12.791218143857982,0.06756517791389288,308.4189722916521
4.1,205.99253832773877,206.57922746197198,206.37915565195388,22.449216594653162,23.390019572181586,1.0,232.19043319942253,False,True,228.6,200,1.0,0.3866173242151092,0.9408029775284241,3.5904331994225345,205.99253832773877,22.879440962656716,12.791218143857982,0.06756517791389288,308.4189722916521
4.15,207.09909796320113,206.75553919969204,207.29595752722372,21.814541696759097,21.64990175834409,1.0,229.6426288105254,False,True,228.6,200,1.0,0.19685956402258853,0.16463993841500724,1.0426288105254002,207.09909796320113,22.251057111220955,12.625731263882518,0.06571038157425876,291.67872950173734
4.2,208.1741269571387,208.67753158088348,208.47416714255124,21.187934833773127,21.70660338112748,1.0,230.93059770535868,False,True,228.6,200,1.0,0.3000401854125414,0.518668547354352,2.3305977053586844,208.1741269571387,21.63117832799239,12.467007395274068,0.06388062802205179,275.62483247135975
4.2,208.1741269571387,208.67753158088348,208.52681004675233,21.187934833773127,21.99190706432735,1.0,231.53877550073753,False,True,228.6,200,1.0,0.3526830896136346,0.8039722305542227,2.9387755007375347,208.1741269571387,21.63117832799239,12.467007395274068,0.06388062802205179,275.62483247135975
4.25,209.21802040656667,209.6386613762422,209.62346949030965,20.569065992384385,21.639239266007475,1.0,231.94952514655182,False,True,228.6,200,1.0,0.4054490837429796,1.070173273623091,3.3495251465518265,209.21802040656667,21.019502585462895,12.314784507153954,0.06207502868031601,260.23079898836033
4.3,210.23115722770046,210.54696681702703,210.64414431126252,19.957617829124413,20.990142409199155,1.0,231.72970449247643,False,True,228.6,200,1.0,0.41298708356205793,1.0325245800747425,3.129704492476435,210.23115722770046,20.415743521397136,12.168815295940698,0.06029274108853361,245.47166323903835
4.3,210.23115722770046,210.54696681702703,210.61901219860147,19.957617829124413,20.853754506549667,1.0,231.44758740954566,False,True,228.6,200,1.0,0.38785497090100307,0.8961366774252539,2.8475874095456675,210.23115722770046,20.415743521397136,12.168815295940698,0.06029274108853361,245.47166323903835
4.3500000000000005,211.21390077146663,211.0937521447736,211.4793188317874,19.353284961792802,19.52863171504677,1.0,229.87909462248737,False,True,228.6,200,1.0,0.2654180603207692,0.17534675325396876,1.2790946224873778,211.21390077146663,19.819630100785528,12.028866210682683,0.05853296791365333,231.32388240375474
4.4,212.16659940482714,212.31089397720424,212.39767676640403,18.755773307337222,18.815279851983018,1.0,229.54236172327623,False,True,228.6,200,1.0,0.23107736157689374,0.059506544645795856,0.9423617232762354,212.16659940482714,19.230906382566335,11.894716555718468,0.05679495626996512,217.76525029412733
