Time (s),Altitude_AGL_m,Vertical_Velocity_ms,Vertical_Acceleration_ms2,Total_Velocity_ms,Mach_Number,Dynamic_Pressure_Pa,Deployment_Level,Predicted_Apogee_m,Filtered_Altitude_m,Filtered_Velocity_ms,Raw_Barometer_Altitude_m,Altitude_Error_m,Velocity_Error_ms,Motor_Burning,Control_Active,Target_Apogee_m,Apogee_Error_m
2.74,161.8010742669927,44.64237701203074,-21.4883145747373,45.01404030295013,0.13290790669918712,1195.490742511622,0.9650000000000007,355.4811040253583,273.95519566702694,45.332688156062986,273.80215519352635,112.15844153597635,0.6880977691806328,False,True,228.6,126.88110402535833
2.7600000000000002,162.68963891390314,44.21480390495319,-21.270933807091527,44.58611188520473,0.13164582799291505,1172.7673916093793,0.9800000000000005,355.1393972742509,274.84027182007287,44.90273684613948,274.6972185806718,112.15486523439311,0.6857558391934383,False,True,228.6,126.53939727425089
2.7800000000000002,163.56969545336568,43.79157955382182,-21.05223129701925,44.162565644090556,0.13039664770217496,1150.4932650833584,0.9900000000000002,355.07555882908406,275.7306006351309,44.56717475508638,275.6518165685464,112.16723186230965,0.772341325560915,False,True,228.6,126.47555882908406
2.8000000000000003,164.44133095996278,43.37268585210488,-20.837850300959474,43.74338389625194,0.1291603145490015,1128.6607027007879,1.0,355.01172038391724,276.62092945018895,44.23161266403327,276.60641455642093,112.17959849022617,0.8589268119283915,False,True,228.6,126.41172038391724
2.82,165.30463099008756,42.95801640472898,-20.62877110448711,43.32845993590398,0.12793651438008696,1107.2576024762936,1.0,353.54623819769375,277.40542556861703,43.433493487967574,277.19396943311074,112.10697298640201,0.5583466523593141,False,True,228.6,124.94623819769376
2.84,166.15967936502278,42.547509012676066,-20.422646532689992,42.917731622391294,0.12672506460295896,1086.2743994926423,1.0,352.0807560114702,278.18992168704506,42.635374311901856,277.7815243098006,112.03434748257786,0.25776649279023023,False,True,228.6,123.48075601147022
2.86,167.00655855225716,42.141083796527006,-20.220536429422694,42.51111898474765,0.12552572995424302,1065.7008241592048,1.0,351.5496796133999,279.0156163494667,42.153421860213555,278.63849231634225,112.013082101055,0.18231829448564563,False,True,228.6,122.94967961339992
2.88,167.84534939832872,41.738661448304896,-20.022343240923647,42.1085426260347,0.12433827684139331,1045.526855613293,1.0,351.9530090034828,279.8825095558819,41.98763613290269,279.76487345273574,112.04317684183347,0.33200205744557043,False,True,228.6,123.35300900348281
2.9,168.67613117968511,41.340164585186336,-19.827972402154806,41.709925089052334,0.1231624773760356,1025.7427834682253,1.0,352.3563383935657,280.74940276229705,41.82185040559183,280.8912545891292,112.07327158261194,0.48168582040549524,False,True,228.6,123.7563383935657
2.92,169.4989816477315,40.9455176817891,-19.637332220724527,41.315190788806945,0.12199810917536004,1006.3391960182458,1.0,352.3625998715627,281.57902228014143,41.52611663410186,281.62251777129825,112.08592255045262,0.5777757948583552,False,True,228.6,123.76259987156268
2.94,170.3139770615029,40.55464701870132,-19.45033377699681,40.92426596100064,0.12084495521077282,987.3069696211284,1.0,352.3688613495596,282.40864179798575,41.2303828626119,282.3537809534674,112.0985735182933,0.6738657693112151,False,True,228.6,123.76886134955961
2.96,171.1211922232514,40.167480627999346,-19.266890825747932,40.53707860757286,0.1197028036478208,968.6372582858684,1.0,352.6127347885888,283.2438809940916,41.01770669667467,283.1848557404436,112.1265241668465,0.8484262851433846,False,True,228.6,124.0127347885888
2.98,171.92070051216547,39.7839482285018,-19.086919695788257,40.153558444030985,0.11857144769136993,950.3214836887055,1.0,353.0942201886501,284.084739868459,40.88808813629021,284.115742132227,112.16977449611218,1.101457342354867,False,True,228.6,124.49422018865013
