,,,,,,,,,,,,
time stamp,raw pressure,raw temperature,raw ax,raw ay,raw aZ,calcualted alt,y estimate,v estimate,a estimate,apogee estimate,servo deployment,flight mode
96505,98.58,27.09,0.01,0.03,1.00,0.16,0.14,-0.19,-0.03,apogee estimate,0.00,0
96595,98.58,27.09,0.01,0.03,1.00,-0.01,0.02,-0.51,-0.09,apogee estimate,0.00,0
96683,98.58,27.09,0.01,0.03,1.00,0.30,0.17,0.07,0.02,apogee estimate,0.00,0
96774,98.57,27.09,0.02,0.03,1.00,0.69,0.55,1.16,0.22,apogee estimate,0.00,0
96862,98.58,27.09,0.01,0.02,1.00,0.31,0.48,0.68,0.13,apogee estimate,0.00,0
96953,98.58,27.09,0.01,0.03,1.00,0.38,0.47,0.47,0.09,apogee estimate,0.00,0
97057,98.58,27.09,0.01,0.03,1.00,0.34,0.42,0.20,0.04,apogee estimate,0.00,0
97146,98.58,27.09,0.01,0.02,1.00,-0.12,0.04,-0.96,-0.18,apogee estimate,0.00,0
97234,98.58,27.09,0.01,0.03,1.00,0.26,0.11,-0.51,-0.09,apogee estimate,0.00,0
97328,98.58,27.10,0.02,0.03,1.00,0.35,0.24,-0.02,0.00,apogee estimate,0.00,0
97417,98.58,27.09,0.02,0.03,1.00,0.30,0.28,0.11,0.03,apogee estimate,0.00,0
97506,98.58,27.10,0.02,0.03,1.00,0.02,0.11,-0.42,-0.07,apogee estimate,0.00,0
97596,98.58,27.10,0.01,0.03,1.00,0.52,0.36,0.44,0.09,apogee estimate,0.00,0
97699,98.58,27.10,0.01,0.02,1.00,0.20,0.29,0.10,0.02,apogee estimate,0.00,0
97790,98.58,27.11,0.01,0.03,1.00,0.38,0.36,0.30,0.06,apogee estimate,0.00,0
97879,98.58,27.10,0.01,0.03,1.00,0.31,0.35,0.19,0.04,apogee estimate,0.00,0
97969,98.58,27.10,0.01,0.03,1.00,0.34,0.36,0.16,0.03,apogee estimate,0.00,0
98058,98.58,27.10,0.02,0.03,1.00,0.45,0.44,0.35,0.07,apogee estimate,0.00,0
98149,98.58,27.11,0.01,0.03,1.00,0.22,0.32,-0.09,-0.02,apogee estimate,0.00,0
98294,98.58,27.10,0.01,0.02,1.00,0.09,0.12,-0.57,-0.10,apogee estimate,0.00,0
98384,98.58,27.10,0.01,0.03,1.00,0.13,0.07,-0.56,-0.10,apogee estimate,0.00,0
98473,98.58,27.11,0.02,0.03,1.00,0.31,0.19,-0.11,-0.01,apogee estimate,0.00,0
98563,98.58,27.11,0.02,0.03,1.00,0.42,0.34,0.33,0.08,apogee estimate,0.00,0
98652,98.58,27.11,0.01,0.03,1.00,0.22,0.29,0.10,0.04,apogee estimate,0.00,0
98741,98.58,27.11,0.01,0.03,1.00,-0.07,0.04,-0.65,-0.11,apogee estimate,0.00,0
98830,98.58,27.12,0.01,0.02,1.00,0.33,0.19,-0.05,0.01,apogee estimate,0.00,0
98935,98.58,27.11,0.01,0.03,1.00,0.34,0.29,0.26,0.06,apogee estimate,0.00,0
99024,98.58,27.11,0.01,0.03,1.00,0.04,0.13,-0.27,-0.04,apogee estimate,0.00,0
99114,98.58,27.12,0.01,0.03,1.00,0.33,0.25,0.13,0.04,apogee estimate,0.00,0
99203,98.58,27.12,0.01,0.03,1.00,0.13,0.18,-0.10,-0.00,apogee estimate,0.00,0
99294,98.58,27.12,0.01,0.02,1.00,0.15,0.15,-0.16,-0.02,apogee estimate,0.00,0
99382,98.58,27.12,0.01,0.03,1.00,0.26,0.21,0.07,0.03,apogee estimate,0.00,0
99472,98.58,27.12,0.01,0.02,1.00,0.27,0.26,0.20,0.05,apogee estimate,0.00,0
99575,98.58,27.12,0.02,0.03,1.00,0.43,0.41,0.55,0.11,apogee estimate,0.00,0
99664,98.58,27.12,0.02,0.03,1.00,-0.08,0.10,-0.48,-0.08,apogee estimate,0.00,0
99754,98.58,27.12,0.01,0.03,1.00,0.10,0.06,-0.47,-0.08,apogee estimate,0.00,0
99843,98.58,27.13,0.01,0.03,1.00,0.37,0.24,0.17,0.05,apogee estimate,0.00,0
99932,98.58,27.13,0.01,0.02,1.00,0.48,0.43,0.69,0.14,apogee estimate,0.00,0
100021,98.58,27.13,0.02,0.03,0.99,0.10,0.26,0.01,0.01,apogee estimate,0.00,0
100126,98.58,27.13,0.01,0.03,0.99,0.46,0.41,0.44,0.09,apogee estimate,0.00,0
100214,98.58,27.12,0.02,0.03,1.00,0.33,0.39,0.29,0.06,apogee estimate,0.00,0
100305,98.58,27.13,0.01,0.02,1.00,0.29,0.34,0.07,0.02,apogee estimate,0.00,0
100394,98.58,27.13,0.01,0.03,1.00,0.05,0.14,-0.54,-0.09,apogee estimate,0.00,0
100485,98.58,27.13,0.01,0.02,1.00,-0.06,-0.05,-0.96,-0.17,apogee estimate,0.00,0
100574,98.58,27.13,0.02,0.03,1.00,-0.20,-0.25,-1.29,-0.23,apogee estimate,0.00,0
