Time_s,Simulated_Altitude_AGL_m,Raw_Barometer_Altitude_AGL_m,Filtered_Altitude_AGL_m,Simulated_Velocity_ms,Filtered_Velocity_ms,Deployment_Level,Predicted_Apogee_AGL_m,Motor_Burning,Control_Active,Target_Apogee_AGL_m,Environment_Elevation_m,Apogee_Prediction_Cd,Temperature_C,Filtered_Acceleration_ms2,Raw_Accelerometer_ms2,Altitude_Error_m,Velocity_Error_ms,Apogee_Error_m,Flight_Altitude_AGL_m,Flight_Velocity_Total_ms,Flight_Acceleration_ms2,Flight_Mach_Number,Flight_Dynamic_Pressure_Pa,Environment_Temperature_C
3.0500000000000003,161.10555042240264,161.2749866106391,161.26905152519038,40.46097817548432,40.6285844381299,0.7950000000000003,228.66788141070015,False,True,228.6,260,0.8,12.266435178640052,-14.9,-14.9,0.163501102787734,0.16760626264557743,0.06788141070015286,161.10555042240264,40.87507047499315,15.023287665109896,0.12073010782557893,982.9416600161444,285.4175346144441
3.1,163.10991766004764,163.2859323995161,163.28255017792043,39.71555415575774,39.885894334148695,0.7950000000000003,228.6827085896423,False,True,228.6,260,0.8,12.253386574187289,-14.4,-14.4,0.17263251787278477,0.17034017839095839,0.08270858964229433,163.10991766004764,40.13191437850322,14.832794211554782,0.11853797491728255,947.3393955906191,285.4045286968272
3.1,163.10991766004764,163.2859323995161,163.2830785583976,39.71555415575774,39.887496977065624,0.7950000000000003,228.68753737553584,False,True,228.6,260,0.8,12.253386574187289,-14.4,-14.4,0.1731608983499484,0.17194282130788707,0.08753737553584529,163.10991766004764,40.13191437850322,14.832794211554782,0.11853797491728255,947.3393955906191,285.4045286968272
3.1500000000000004,165.07725489320694,165.26258899215503,165.25998753346585,38.979472837806014,39.16927364932198,0.8175000000000003,228.74287756712087,False,True,228.6,260,0.8,12.240560465120097,-14.700000000000001,-14.700000000000001,0.18273264025890512,0.1898008115159655,0.14287756712087685,165.07725489320694,39.39824626909828,14.648158031054326,0.11637370866295028,912.8434697192753,285.3917630591244
3.1500000000000004,165.07725489320694,165.26258899215503,165.26040119072155,38.979472837806014,39.170498600986356,0.8175000000000003,228.64115212513678,False,True,228.6,260,0.8,12.240560465120097,-14.700000000000001,-14.700000000000001,0.18314629751461098,0.1910257631803418,0.04115212513679012,165.07725489320694,39.39824626909828,14.648158031054326,0.11637370866295028,912.8434697192753,285.3917630591244
3.2,167.00796440594394,167.20493660346287,167.20129815885596,38.25012174607408,38.437983485212406,0.8175000000000003,228.64036998507726,False,True,228.6,260,0.8,12.227956979819794,-14.4,-14.4,0.19333375291202515,0.18786173913832727,0.04036998507726253,167.00796440594394,38.67143142671995,14.521902527051969,0.11422953196571492,879.3084696282705,285.37923509099903
3.2,167.00796440594394,167.20493660346287,167.20186275100818,38.25012174607408,38.439710790959495,0.8175000000000003,228.64549832912613,False,True,228.6,260,0.8,12.227956979819794,-14.4,-14.4,0.19389834506424108,0.18958904488541606,0.04549832912613283,167.00796440594394,38.67143142671995,14.521902527051969,0.11422953196571492,879.3084696282705,285.37923509099903
3.25,168.90241354180546,169.09560856160854,169.10410402016228,37.52931005656103,37.71390879773379,0.8175000000000003,228.63650491048455,False,True,228.6,260,0.8,12.215688806968842,-14.100000000000001,-14.100000000000001,0.20169047835682363,0.18459874117275632,0.03650491048455251,168.90241354180546,37.953304490255405,14.345961544707244,0.11211086896091318,846.7977682270853,285.36694240883594
3.25,168.90241354180546,169.09560856160854,169.10289457958882,37.52931005656103,37.70976629549537,0.8175000000000003,228.624424819175,False,True,228.6,260,0.8,12.215688806968842,-14.100000000000001,-14.100000000000001,0.20048103778336213,0.18045623893434026,0.02442481917501027,168.90241354180546,37.953304490255405,14.345961544707244,0.11211086896091318,846.7977682270853,285.36694240883594
3.3000000000000003,170.76103948616588,170.96927703445095,170.9705056396278,36.817146256366016,37.00392721672821,0.8175000000000003,228.64627965018602,False,True,228.6,260,0.8,12.203530966159292,-13.800000000000002,-13.8,0.20946615346190356,0.18678096036219216,0.046279650186022536,170.76103948616588,37.243982700342755,14.175431206645612,0.11001807111063892,815.2935572564112,285.3548821758313
