Simulation,Algorithm,Apogee_AGL_m,Error_m,Max_Deployment
54,INTEGRATOR,226.57396282379068,-0.1560371762093098,0.968
55,INTEGRATOR,226.48637065979608,-0.2436293402039098,0.971
56,INTEGRATOR,226.12879981712126,-0.6012001828787277,0.924
57,INTEGRATOR,226.36984446690644,-0.36015553309354686,0.955
58,INTEGRATOR,226.3852280669422,-0.3447719330577854,0.958
59,INTEGRATOR,226.58848649670557,-0.14151350329441925,1.0
60,INTEGRATOR,226.6849325578005,-0.0450674421994961,1.0
61,INTEGRATOR,226.6312406293942,-0.09875937060579076,1.0
62,INTEGRATOR,226.30226209202982,-0.42773790797016886,0.939
63,INTEGRATOR,226.4145404518199,-0.3154595481800868,0.985
64,INTEGRATOR,226.60427403836593,-0.12572596163406047,1.0
65,INTEGRATOR,226.52145142609606,-0.20854857390392567,0.985
66,INTEGRATOR,226.6111349045658,-0.1188650954341881,1.0
67,INTEGRATOR,226.32312313579564,-0.40687686420434943,0.939
68,INTEGRATOR,226.4428140088637,-0.2871859911362833,0.973
69,INTEGRATOR,226.49627958925322,-0.23372041074676986,0.978
70,INTEGRATOR,226.71095566958257,-0.019044330417415267,1.0
71,INTEGRATOR,226.51449829399354,-0.21550170600644947,0.987
72,INTEGRATOR,226.6681136297339,-0.06188637026608035,1.0
73,INTEGRATOR,226.57774102787545,-0.15225897212454242,1.0
74,INTEGRATOR,226.58596197971457,-0.14403802028542145,1.0
75,INTEGRATOR,226.5751850092542,-0.1548149907457912,1.0
76,INTEGRATOR,226.35096725722383,-0.37903274277616106,0.947
77,INTEGRATOR,226.49552449357395,-0.23447550642603687,0.997
78,INTEGRATOR,226.61433522050504,-0.11566477949494924,1.0
79,INTEGRATOR,226.60671939703712,-0.1232806029628648,1.0
80,INTEGRATOR,226.6434098334234,-0.0865901665765989,1.0
81,INTEGRATOR,226.14126800467693,-0.5887319953230588,0.941
82,INTEGRATOR,226.5113438289074,-0.21865617109259006,1.0
83,INTEGRATOR,226.66431903373478,-0.06568096626520514,1.0
84,INTEGRATOR,226.6365442394423,-0.09345576055770266,1.0
85,INTEGRATOR,226.22857275482767,-0.501427245172323,0.942
86,INTEGRATOR,226.67973050526734,-0.05026949473264608,1.0
87,INTEGRATOR,226.5991537470885,-0.130846252911482,1.0
88,INTEGRATOR,226.41632802889012,-0.3136719711098692,0.978
89,INTEGRATOR,226.6037262998065,-0.1262737001934795,1.0
