time,altitude,Temperature (deg C),state,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Local Acceleration X,IMU Local Acceleration Y,IMU Local Acceleration Z,accel_x,accel_y,accel,State Estimation y,State Estimation v,State Estimation a,Servo deployment,filtered_altitude,filtered_velocity,filtered_accel,saturated,thrust_accel,predicted_apogee_no_airbrake,integrated_vx,integrated_vy,integrated_x,integrated_y,Servo deployment_rate_limited,Servo deployment_rate_limited_rate_limited
0.250523,1.242553,16.50979,2,0.996338,0.025879,-0.040222,-0.071228,-4.19,1.67,30.22,-6.433908,0.86901,29.857048,1.5758,4.676548,29.858598,0.0,1.325621200005029,9.761691129365227,51.96786899981662,False,87.20609633042496,5.2960634377186855,-0.263638489246,-0.07421215326349999,-0.009052008368445738,-0.0034116009292958055,0.0,0.0
0.259689,1.336395,16.505146,2,0.995972,0.026062,-0.039795,-0.076233,2.73,-1.86,30.22,-0.10456,-3.641559,30.180944,1.481469,4.77768,30.177392,0.0,1.4187714061488363,10.455088922548608,56.241377646928754,False,86.9599384287186,5.973308255248778,-0.29360428809,-0.0869187453305,-0.011605852016976628,-0.004150063837552108,0.0,0.0
0.272315,1.982482,16.500502,2,0.995667,0.025818,-0.040161,-0.079468,-3.79,1.36,30.22,-6.058334,0.58785,29.873279,1.835028,5.515589,29.87663,0.0,1.613008258704455,11.63519174406747,59.94995077316787,False,86.62493012853626,7.2537452137551135,-0.3325106379119999,-0.10619681024749995,-0.015558515544827244,-0.005369202339916019,0.0,0.0
0.280475,1.336395,16.505146,2,0.995605,0.025574,-0.040405,-0.080444,0.24,0.61,30.22,-2.223143,-0.780064,30.135148,1.591454,5.330475,30.132299,0.0,1.6772963973011064,12.129080376067932,63.17464916409978,False,86.38089635490029,7.807071012680948,-0.3662990640719999,-0.10698104336749996,-0.018409659128921965,-0.006238967982665219,0.0,0.0
0.289701,1.520477,16.505146,2,0.995361,0.025391,-0.04071,-0.08313,1.32,0.78,30.22,-1.151849,-0.775906,30.226975,1.600869,5.557434,30.225932,0.0,1.7698792716135174,12.748136798946373,65.97475768101913,False,86.13325282826732,8.541337265140628,-0.38186790216799993,-0.11415873297749997,-0.02186095334418709,-0.007259085770944705,0.0,0.0
0.302292,1.613281,16.500502,2,0.995178,0.02533,-0.040833,-0.085754,2.65,-1.17,30.22,-0.18239,-2.920983,30.217129,1.680444,5.946869,30.217226,0.0,1.907532945363771,13.576677622974973,68.39158235931629,False,85.7959337058308,9.587790248621662,-0.3902676037924999,-0.137432497677,-0.026721932421961424,-0.008842978363530112,0.0,0.0
0.310491,2.07376,16.505146,2,0.995117,0.025146,-0.041138,-0.086121,-3.1,0.06,30.22,-5.638476,-0.701517,29.842544,1.958641,6.531842,29.846673,0.0,2.031670756202483,14.289692683963235,70.48418323875302,False,85.55711884915219,10.539808964623834,-0.41413024395949993,-0.15228293642700003,-0.030019561398820754,-0.010030666785639462,0.0,0.0
0.319619,2.995803,16.505146,2,0.995056,0.025024,-0.041199,-0.087158,1.34,0.95,30.22,-1.13165,-0.588785,30.23772,2.619359,7.569329,30.23341,0.0,2.252507586997287,15.401801905257065,72.28983648219057,False,85.2981291523717,12.136486834029792,-0.44502909902349985,-0.158171874755,-0.03394076464019515,-0.011447582543874105,0.0,0.0
0.332212,2.627075,16.505146,2,0.994873,0.024902,-0.041382,-0.088684,-0.9,-0.59,30.22,-3.607429,-1.694892,29.975324,2.721535,7.952377,29.978168,0.0,2.4736807208838845,16.482921963690305,73.83051507490981,False,84.93143778791145,13.793960573429894,-0.4748687099469999,-0.17255104698550003,-0.03973290119437791,-0.013529979420613167,0.0,0.0
0.340397,2.62503,16.514433,2,0.994995,0.024719,-0.041748,-0.087646,6.01,-2.22,30.22,2.872523,-4.509221,30.425536,2.731597,8.117905,30.420606,0.0,2.6156918173597705,17.17417707085209,75.1516741054269,False,84.67192560613073,14.905373403234005,-0.47787631275199993,-0.19794137943800003,-0.043632010199773565,-0.01504621967575134,0.0,0.0
